rating,price_level,user_ratings_total,bakery,bar,cafe,convenience_store,establishment,food,gas_station,grocery_or_supermarket,home_goods_store,liquor_store,lodging,meal_delivery,meal_takeaway,movie_theater,night_club,point_of_interest,restaurant,store,tourist_attraction
4.4,1.0,683.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0
3.7,2.0,453.0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0
4.2,2.0,1359.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.5,1.7941176470588236,2317.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0
3.8,1.0,86.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
3.7,1.0,261.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
3.6,1.0,133.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.4,1.7941176470588236,41.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0
4.7,1.0,411.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
3.4,1.0,812.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
3.0,1.0,635.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
3.9,1.0,647.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
4.4,2.0,211.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.6,2.0,555.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
3.3,2.0,182.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
3.5,1.7941176470588236,8.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
3.5,2.0,120.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
3.8,2.0,19.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
4.4,2.0,313.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4.5,1.7941176470588236,41.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
