name,types
Jersey Mike's Subs,"meal_takeaway, restaurant, food, point_of_interest, store, establishment"
Panera Bread,"cafe, bakery, meal_takeaway, restaurant, food, point_of_interest, store, establishment"
Timberwood Tap House,"restaurant, food, point_of_interest, establishment"
Alamo Drafthouse Cinema Charlottesville,"movie_theater, bar, restaurant, food, point_of_interest, establishment"
Subway,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Domino's Pizza,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment"
Jade Garden,"restaurant, food, point_of_interest, establishment"
Wooden Sun,"home_goods_store, restaurant, food, point_of_interest, store, establishment"
The Market at Mill Creek,"convenience_store, gas_station, restaurant, food, point_of_interest, store, establishment"
Taco Bell,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Burger King,"restaurant, food, point_of_interest, establishment"
Krispy Kreme,"bakery, cafe, restaurant, food, point_of_interest, store, establishment"
Al Carbon,"restaurant, food, point_of_interest, establishment"
Kanak Indian Kitchen,"restaurant, meal_delivery, meal_takeaway, food, point_of_interest, establishment"
BurgerFi,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Harold’s Chicken,"restaurant, food, point_of_interest, establishment"
Wing Zone,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment"
Cold Stone Creamery,"bakery, restaurant, food, point_of_interest, store, establishment"
Chimm - Thai & Southeast Asian Restaurant,"restaurant, food, point_of_interest, establishment"
Glass Half Full Taproom,"bar, restaurant, food, point_of_interest, establishment"
Panera Bread,"cafe, bakery, meal_takeaway, restaurant, food, point_of_interest, store, establishment"
Jersey Mike's Subs,"meal_takeaway, restaurant, food, point_of_interest, store, establishment"
Timberwood Tap House,"restaurant, food, point_of_interest, establishment"
Alamo Drafthouse Cinema Charlottesville,"movie_theater, bar, restaurant, food, point_of_interest, establishment"
Subway,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Domino's Pizza,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment"
Moose's By The Creek,"restaurant, food, point_of_interest, establishment"
Jade Garden,"restaurant, food, point_of_interest, establishment"
Wooden Sun,"home_goods_store, restaurant, food, point_of_interest, store, establishment"
The Market at Mill Creek,"convenience_store, gas_station, restaurant, food, point_of_interest, store, establishment"
Brazos Tacos,"restaurant, food, point_of_interest, establishment"
Taco Bell,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Burger King,"restaurant, food, point_of_interest, establishment"
Krispy Kreme,"bakery, cafe, restaurant, food, point_of_interest, store, establishment"
Kanak Indian Kitchen,"restaurant, meal_delivery, meal_takeaway, food, point_of_interest, establishment"
Al Carbon,"restaurant, food, point_of_interest, establishment"
BurgerFi,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Harold’s Chicken,"restaurant, food, point_of_interest, establishment"
Wing Zone,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment"
Glass Half Full Taproom,"bar, restaurant, food, point_of_interest, establishment"
The Local,"bar, restaurant, food, point_of_interest, establishment"
Mas,"restaurant, food, point_of_interest, establishment"
Moose's By The Creek,"restaurant, food, point_of_interest, establishment"
Panera Bread,"cafe, meal_takeaway, bakery, restaurant, food, store, point_of_interest, establishment"
Jersey Mike's Subs,"meal_takeaway, restaurant, food, store, point_of_interest, establishment"
Timberwood Tap House,"restaurant, food, point_of_interest, establishment"
Alamo Drafthouse Cinema Charlottesville,"movie_theater, bar, restaurant, food, point_of_interest, establishment"
Subway,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Tavola,"liquor_store, bar, restaurant, food, store, point_of_interest, establishment"
Domino's Pizza,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment"
Wooden Sun,"home_goods_store, restaurant, food, store, point_of_interest, establishment"
Brazos Tacos,"restaurant, food, point_of_interest, establishment"
Jade Garden,"restaurant, food, point_of_interest, establishment"
The Market at Mill Creek,"gas_station, convenience_store, restaurant, food, store, point_of_interest, establishment"
Taco Bell,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Southern Crescent Galley and Bar,"restaurant, food, point_of_interest, establishment"
Burger King,"restaurant, food, point_of_interest, establishment"
Krispy Kreme,"cafe, bakery, restaurant, food, store, point_of_interest, establishment"
Kanak Indian Kitchen,"restaurant, meal_takeaway, meal_delivery, food, point_of_interest, establishment"
