name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, store, establishment",683
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, bakery, meal_takeaway, restaurant, food, point_of_interest, store, establishment",453
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, food, point_of_interest, establishment",1359
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, food, point_of_interest, establishment",2317
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",86
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",261
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",133
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, food, point_of_interest, store, establishment",41
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"convenience_store, gas_station, restaurant, food, point_of_interest, store, establishment",411
Taco Bell,3.4,38.0114933,-78.50268539999999,"1158 5th Street Southwest, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",812
Burger King,3,38.0112129,-78.50493999999999,"1181 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",635
Krispy Kreme,3.9,38.01045209999999,-78.4976451,"295 Merchant Walk Avenue, Charlottesville",1,"bakery, cafe, restaurant, food, point_of_interest, store, establishment",647
Al Carbon,4.4,38.01034669999999,-78.4995266,"245 Merchant Walk Avenue Suite 200, Charlottesville",2,"restaurant, food, point_of_interest, establishment",211
Kanak Indian Kitchen,4.6,38.0117177,-78.4988716,"385 Merchant Walk Square Suite 400, Charlottesville",2,"restaurant, meal_delivery, meal_takeaway, food, point_of_interest, establishment",555
BurgerFi,3.3,38.0116705,-78.4991905,"385 Merchant Walk Square, Charlottesville",2,"meal_takeaway, restaurant, food, point_of_interest, establishment",182
Harold’s Chicken,3.5,38.0117222,-78.4992517,"385 Merchant Walk Square, Charlottesville",N/A,"restaurant, food, point_of_interest, establishment",8
Wing Zone,3.5,38.01175009999999,-78.4994059,"385 Merchant Walk Square, Charlottesville",2,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",120
Cold Stone Creamery,3.8,38.0117106,-78.4997204,"365 Merchant Walk Square Building 1400, STE 600, Charlottesville",2,"bakery, restaurant, food, point_of_interest, store, establishment",19
Chimm - Thai & Southeast Asian Restaurant,4.4,38.0117103,-78.49992759999999,"365 Merchant Walk Square, Charlottesville",2,"restaurant, food, point_of_interest, establishment",313
Glass Half Full Taproom,4.5,38.0120269,-78.4995089,"375 Merchant Walk Square, Charlottesville",N/A,"bar, restaurant, food, point_of_interest, establishment",41
