name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, store, restaurant, point_of_interest, food, establishment",686
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, meal_takeaway, bakery, store, restaurant, point_of_interest, food, establishment",454
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, point_of_interest, food, establishment",1371
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, point_of_interest, food, establishment",2321
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, point_of_interest, food, establishment",89
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_takeaway, meal_delivery, restaurant, point_of_interest, food, establishment",261
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, point_of_interest, food, establishment",134
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, store, restaurant, point_of_interest, food, establishment",41
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"convenience_store, gas_station, store, restaurant, point_of_interest, food, establishment",417
Taco Bell,3.4,38.0114933,-78.50268539999999,"1158 5th Street Southwest, Charlottesville",1,"meal_takeaway, restaurant, point_of_interest, food, establishment",814
Burger King,3,38.0112129,-78.50493999999999,"1181 5th Street Southwest, Charlottesville",1,"restaurant, point_of_interest, food, establishment",639
Krispy Kreme,3.9,38.01045209999999,-78.4976451,"295 Merchant Walk Avenue, Charlottesville",1,"cafe, bakery, store, restaurant, point_of_interest, food, establishment",653
Al Carbon,4.4,38.01034669999999,-78.4995266,"245 Merchant Walk Avenue Suite 200, Charlottesville",2,"restaurant, point_of_interest, food, establishment",219
Kanak Indian Kitchen,4.6,38.0117177,-78.4988716,"385 Merchant Walk Square Suite 400, Charlottesville",2,"restaurant, meal_takeaway, meal_delivery, point_of_interest, food, establishment",560
BurgerFi,3.3,38.0116705,-78.4991905,"385 Merchant Walk Square, Charlottesville",2,"meal_takeaway, restaurant, point_of_interest, food, establishment",183
Harold’s Chicken,3.5,38.0117222,-78.4992517,"385 Merchant Walk Square, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",19
Wing Zone,3.5,38.01175009999999,-78.4994059,"385 Merchant Walk Square, Charlottesville",2,"meal_takeaway, meal_delivery, restaurant, point_of_interest, food, establishment",119
Cold Stone Creamery,3.8,38.0117106,-78.4997204,"365 Merchant Walk Square Building 1400, STE 600, Charlottesville",2,"bakery, store, restaurant, point_of_interest, food, establishment",19
Chimm - Thai & Southeast Asian Restaurant,4.4,38.0117103,-78.49992759999999,"365 Merchant Walk Square, Charlottesville",2,"restaurant, point_of_interest, food, establishment",316
Glass Half Full Taproom,4.5,38.0120269,-78.4995089,"375 Merchant Walk Square, Charlottesville",N/A,"bar, restaurant, point_of_interest, food, establishment",41
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, bakery, meal_takeaway, restaurant, point_of_interest, store, food, establishment",454
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, restaurant, point_of_interest, store, food, establishment",686
Timberwood Tap House,4.2,38.010356,-78.4997365,"245 Merchant Walk Avenue Unit 100, Charlottesville",2,"restaurant, point_of_interest, food, establishment",1371
Alamo Drafthouse Cinema Charlottesville,4.5,38.0119188,-78.4994946,"375 Merchant Walk Square, Charlottesville",N/A,"movie_theater, bar, restaurant, point_of_interest, food, establishment",2321
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, point_of_interest, food, establishment",89
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",261
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1090
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, point_of_interest, food, establishment",134
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, point_of_interest, store, food, establishment",41
The Market at Mill Creek,4.7,38.000067,-78.497748,"1345 Parham Circle, Charlottesville",1,"gas_station, convenience_store, restaurant, point_of_interest, store, food, establishment",417
